"dec.date","year","timeunit","lswt"
2006.44230769231,2006,23,315.001145602528
2006.46153846154,2006,24,313.603023519717
2006.48076923077,2006,25,314.678757748664
2006.5,2006,26,312.905042952895
2006.51923076923,2006,27,315.727509143424
2006.53846153846,2006,28,316.416956218746
2006.55769230769,2006,29,314.901261247484
2006.57692307692,2006,30,315.919125664635
2006.59615384615,2006,31,317.474515680321
2006.61538461538,2006,32,311.190485516067
2006.63461538462,2006,33,311.831972759097
2006.65384615385,2006,34,312.132000175327
2006.67307692308,2006,35,313.318302498061
2006.69230769231,2006,36,313.857369842148
2006.71153846154,2006,37,311.022402314943
2006.73076923077,2006,38,309.142549555703
2006.75,2006,39,304.385554230873
2006.76923076923,2006,40,304.193795137639
2006.78846153846,2006,41,305.048072372999
2006.80769230769,2006,42,301.863048538783
2006.82692307692,2006,43,302.244939302555
2006.84615384615,2006,44,299.9914164018
2006.86538461538,2006,45,298.571019281597
2006.88461538462,2006,46,302.445014562964
2006.90384615385,2006,47,294.861234271145
2006.92307692308,2006,48,295.64213249568
2006.94230769231,2006,49,293.520602212395
2006.96153846154,2006,50,294.525396786561
2006.98076923077,2006,51,294.391590404329
2007,2006,52,294.35694366983
2007.01923076923,2007,1,293.982044224991
2007.03846153846,2007,2,290.633689071329
2007.05769230769,2007,3,293.055837192416
2007.07692307692,2007,4,297.180399806389
2007.09615384615,2007,5,290.685648461101
2007.11538461538,2007,6,289.907934263424
2007.13461538462,2007,7,294.154405667504
2007.15384615385,2007,8,295.250913827384
2007.17307692308,2007,9,295.964324548248
2007.19230769231,2007,10,297.501912855717
2007.21153846154,2007,11,298.840862562791
2007.23076923077,2007,12,296.599370304405
2007.25,2007,13,300.12053692156
2007.26923076923,2007,14,303.217876323349
2007.28846153846,2007,15,303.18493981198
2007.30769230769,2007,16,305.826473323209
2007.32692307692,2007,17,308.01078851416
2007.34615384615,2007,18,304.686223277102
2007.36538461538,2007,19,305.520132249619
2007.38461538462,2007,20,310.571101106339
2007.40384615385,2007,21,309.89626189758
2007.42307692308,2007,22,311.777383922133
2007.44230769231,2007,23,309.484867087921
2007.46153846154,2007,24,315.568216497956
2007.48076923077,2007,25,310.74054155617
2007.5,2007,26,315.620108353364
2007.51923076923,2007,27,311.514067764726
2007.53846153846,2007,28,312.582773769656
2007.55769230769,2007,29,316.917673382254
2007.57692307692,2007,30,313.871804317437
2007.59615384615,2007,31,314.912203519389
2007.61538461538,2007,32,315.844030930778
2007.63461538462,2007,33,313.578666785635
2007.65384615385,2007,34,311.522716643049
2007.67307692308,2007,35,311.834206408318
2007.69230769231,2007,36,313.549558818468
2007.71153846154,2007,37,309.25133711366
2007.73076923077,2007,38,307.399582178922
2007.75,2007,39,304.304602787332
2007.76923076923,2007,40,305.663457503452
2007.78846153846,2007,41,306.090572041251
2007.80769230769,2007,42,302.966542633843
2007.82692307692,2007,43,303.777380359776
2007.84615384615,2007,44,301.714126592427
2007.86538461538,2007,45,296.543848938926
2007.88461538462,2007,46,295.552431928444
2007.90384615385,2007,47,296.497179200837
2007.92307692308,2007,48,295.027420129294
2007.94230769231,2007,49,292.378531144295
2007.96153846154,2007,50,287.463376561944
2007.98076923077,2007,51,291.375475257711
2008,2007,52,293.983631267418
2008.01923076923,2008,1,294.046873037821
2008.03846153846,2008,2,293.432280901097
2008.05769230769,2008,3,293.019631552046
2008.07692307692,2008,4,294.574148099378
2008.09615384615,2008,5,292.84769012217
2008.11538461538,2008,6,294.340674298384
2008.13461538462,2008,7,294.5159319378
2008.15384615385,2008,8,296.230307571611
2008.17307692308,2008,9,295.82943736245
2008.19230769231,2008,10,296.793101855531
2008.21153846154,2008,11,296.45837892996
2008.23076923077,2008,12,298.037396933858
2008.25,2008,13,301.247733339259
2008.26923076923,2008,14,298.964018054995
2008.28846153846,2008,15,305.296668808271
2008.30769230769,2008,16,305.523576030101
2008.32692307692,2008,17,305.947349977709
2008.34615384615,2008,18,308.026959071901
2008.36538461538,2008,19,307.455248176496
2008.38461538462,2008,20,311.105442455873
2008.40384615385,2008,21,309.784765436605
2008.42307692308,2008,22,309.624874625413
2008.44230769231,2008,23,314.247582490586
2008.46153846154,2008,24,316.110346654986
2008.48076923077,2008,25,310.951542032441
2008.5,2008,26,317.144264609912
2008.51923076923,2008,27,312.250552718695
2008.53846153846,2008,28,314.816298611679
2008.55769230769,2008,29,317.459952960509
2008.57692307692,2008,30,317.314057693166
2008.59615384615,2008,31,314.140512262421
